ID Punto;Iluminación;¿Qué veo?;Visibilidad;Presencia de personas;Seguridad;Estado del Sendero;Transporte;Presencia mixta;Índice de seguridad;Dirección;Código Localidad;Nombre Localidad;Coordenada X;Coordenada Y
1;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Auto Norte - CL 95, Bogotá, Colombia;12;Barrios Unidos;-74,05769999980;4,68600000069
2;Brillante;Visibilidad total;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Auto Norte - CL 95, Bogotá, Colombia;12;Barrios Unidos;-74,05779999960;4,68539999984
3;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Muy Alto;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05800000020;4,68420000002
4;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Muy Alto;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05800000020;4,68420000002
5;Brillante;Visibilidad total;Algunos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;719A00, Bogotá, Colombia;12;Barrios Unidos;-74,05819999990;4,68300000019
6;Brillante;Visibilidad total;Algunos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05840000040;4,68190000020
7;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05860000010;4,68090000004
8;Brillante;Bastante visible;Altamente visible;Pocas personas;Ninguna;Bueno;A distancia;No hay diversidad;Alto;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05879999980;4,67989999987
9;Brillante;Visibilidad total;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,05970000010;4,67870000005
10;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Av. Nqs - Cl 89A, Bogotá, Colombia;12;Barrios Unidos;-74,06089999990;4,67789999954
11;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;La Castellana, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06030000000;4,67840000056
12;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06080000010;4,67760000005
13;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Kr 30 - Cl 86A, Bogotá, Colombia;12;Barrios Unidos;-74,06159999970;4,67689999938
14;Suficiente;Visibilidad total;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Castellana A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,06309999990;4,67620000057
15;Suficiente;Visibilidad total;Muchos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Castellana A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,06369999980;4,67600000091
16;Suficiente;Visibilidad total;Muchos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 85A, Bogotá, Colombia;12;Barrios Unidos;-74,06460000020;4,67520000041
17;Brillante;Visibilidad total;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Polo Club, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06560000030;4,67469999939
18;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Polo Club, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06659999960;4,67390000075
19;Suficiente;Visibilidad total;Algunos miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06780000030;4,67329999991
20;Suficiente;Visibilidad total;Algunos miran;Desierto;Minima;Bueno;A distancia;No hay diversidad;Medio;Juan XXIII, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06890000030;4,67249999940
21;Brillante;Visibilidad total;Muchos miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Alto;Juan XXIII, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06960000000;4,67180000059
22;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Av. Nqs - Cl 75, Bogotá, Colombia;12;Barrios Unidos;-74,07050000040;4,67070000060
23;Suficiente;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Calle 75 A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,07180000000;4,66939999908
24;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Once de Noviembre, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07259999960;4,66829999909
25;Suficiente;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 7 - Cl 35, Bogotá, Colombia;12;Barrios Unidos;-74,07330000030;4,66740000062
26;Brillante;Visibilidad total;Muchos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Chile B - 4 o 6, Bogotá, Colombia;12;Barrios Unidos;-74,07430000040;4,66620000079
27;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 70, Bogotá, Colombia;12;Barrios Unidos;-74,07540000040;4,66489999928
28;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;La Merced Norte, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07569999990;4,66389999911
29;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07600000040;4,66310000047
30;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;Hay diversidad;Muy Alto;La Paz, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07620000000;4,66220000014
31;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;Hay algo de diversidad;Muy Alto;Av. Nqs - Cl 65, Bogotá, Colombia;12;Barrios Unidos;-74,07660000030;4,66070000082
32;Suficiente;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07689999980;4,65980000049
33;Suficiente;Visibilidad total;Muchos miran;Pocas personas;Moderada;Bueno;Cerca;Hay diversidad;Muy Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07710000030;4,65899999999
34;Suficiente;Visibilidad total;Muchos miran;Pocas personas;Moderada;Bueno;Cerca;Hay diversidad;Muy Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07710000030;4,65899999999
35;Poca;Visibilidad total;Algunos miran;Pocas personas;Buena;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 63G, Bogotá, Colombia;12;Barrios Unidos;-74,07720000020;4,65829999931
36;Poca;Visibilidad total;Algunos miran;Pocas personas;Buena;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 63G, Bogotá, Colombia;12;Barrios Unidos;-74,07720000020;4,65829999931
37;Suficiente;Visibilidad total;No miran;Desierto;Moderada;Bueno;Muy Cerca;No hay diversidad;Alto;Simon Bolivar B - 3, Bogotá, Colombia;12;Barrios Unidos;-74,07760000040;4,65740000084
38;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Simon Bolivar A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,07770000030;4,65680000000
39;Brillante;Visibilidad total;No miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;Simon Bolivar A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,07770000030;4,65680000000
40;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Simon Bolivar A - 2, Bogotá, Colombia;12;Barrios Unidos;-74,07770000030;4,65579999983
41;Brillante;Visibilidad total;Muchos miran;Pocas personas;Moderada;Bueno;Muy Cerca;No hay diversidad;Muy Alto;Av Nqs - Cl 63 C, Bogotá, Colombia;12;Barrios Unidos;-74,07780000010;4,65460000001
42;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Benjamin Herrera, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07789999990;4,65350000001
43;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Benjamin Herrera, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07799999970;4,65259999968
44;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Auto Norte - CL 80 Bis, Bogotá, Colombia;12;Barrios Unidos;-74,06080000010;4,66779999994
45;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06240000020;4,66799999960
46;Suficiente;Bastante visible;Altamente visible;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Polo Club, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06159999970;4,66789999977
47;Brillante;Visibilidad total;Algunos miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Alto;Polo Club, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06360000000;4,66950000077
48;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Polo Club, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06560000030;4,67210000008
49;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06740000010;4,67400000058
50;Brillante;Visibilidad total;No miran;Pocas personas;Moderada;Bueno;Muy Cerca;No hay diversidad;Alto;Escuela Militar B - 2 o 5, Bogotá, Colombia;12;Barrios Unidos;-74,07000000030;4,67569999956
51;Brillante;Visibilidad total;No miran;Desierto;Buena;Bueno;Cerca;No hay diversidad;Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07160000040;4,67679999955
52;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AC 80 - KR 56Bis, Bogotá, Colombia;12;Barrios Unidos;-74,07380000040;4,67830000073
53;Brillante;Visibilidad total;Altamente visible;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AC 80 - Kr 58, Bogotá, Colombia;12;Barrios Unidos;-74,07579999980;4,67999999970
54;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07760000040;4,68209999986
55;Brillante;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07820000030;4,68420000002
56;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;AK 68 - AC 80, Bogotá, Colombia;12;Barrios Unidos;-74,07749999970;4,68520000018
57;Suficiente;Bastante visible;Muchos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06419999990;4,68669999950
